,종목코드,현재가,거래량,거래대금,일자,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
0,217820,9490,74715,693,20220128,9120,9600,9090,,,,,,,
1,,9180,105738,981,20220127,9510,9660,9060,,,,,,,
2,,9520,70318,669,20220126,9330,9670,9300,,,,,,,
3,,9330,126803,1196,20220125,9670,9800,9280,,,,,,,
4,,9700,135545,1308,20220124,9850,9910,9510,,,,,,,
5,,10050,129506,1308,20220121,10050,10450,9980,,,,,,,
6,,10150,93388,943,20220120,9970,10250,9970,,,,,,,
7,,9990,174684,1764,20220119,10050,10350,9930,,,,,,,
8,,10150,374060,3902,20220118,11100,11150,10150,,,,,,,
9,,11050,219720,2459,20220117,11600,11600,11000,,,,,,,
10,,11450,549791,6361,20220114,11300,11850,11050,,,,,,,
11,,11450,933437,10597,20220113,11050,11600,10950,,,,,,,
12,,10900,352081,3902,20220112,11050,11300,10800,,,,,,,
13,,10950,268060,2897,20220111,10650,11050,10400,,,,,,,
14,,10700,129229,1372,20220110,10950,10950,10400,,,,,,,
15,,10850,194663,2086,20220107,10700,11000,10500,,,,,,,
16,,10650,728363,7958,20220106,10350,11300,10200,,,,,,,
17,,10500,494277,5272,20220105,10700,10950,10300,,,,,,,
18,,10650,316478,3290,20220104,9970,10750,9950,,,,,,,
19,,9890,53291,526,20220103,10100,10100,9760,,,,,,,
20,,9920,52711,518,20211230,9800,9930,9700,,,,,,,
21,,9790,68713,667,20211229,9640,9870,9500,4,0.00,,,,,
22,,9450,108067,1033,20211228,9730,9830,9350,,,,,,,
23,,9730,99914,979,20211227,10000,10050,9710,,,,,,,
24,,10000,542500,5455,20211224,9470,10600,9450,,,,,,,
25,,9490,1049785,10882,20211223,9320,11500,9300,,,,,,,
26,,9250,20016,185,20211222,9230,9260,9170,,,,,,,
27,,9190,44879,410,20211221,9260,9270,9100,,,,,,,
28,,9260,42949,398,20211220,9300,9410,9190,,,,,,,
29,,9370,21335,200,20211217,9290,9470,9290,,,,,,,
30,,9390,28308,268,20211216,9600,9610,9380,,,,,,,
31,,9450,30196,284,20211215,9430,9450,9300,,,,,,,
32,,9330,27119,254,20211214,9270,9500,9250,,,,,,,
33,,9400,44312,415,20211213,9400,9470,9240,,,,,,,
34,,9250,234118,2214,20211210,9800,9970,9250,,,,,,,
35,,9920,39122,389,20211209,9850,10050,9750,,,,,,,
36,,9750,37315,368,20211208,10000,10000,9750,,,,,,,
37,,9920,27033,267,20211207,9950,9990,9820,,,,,,,
38,,9930,27014,267,20211206,9880,9990,9800,,,,,,,
39,,9890,24146,240,20211203,9900,10050,9780,,,,,,,
40,,9840,48124,467,20211202,9570,9850,9400,,,,,,,
41,,9640,69594,648,20211201,9080,9690,9050,,,,,,,
42,,9400,116801,1109,20211130,9850,10000,9200,,,,,,,
43,,9800,74788,740,20211129,9890,10050,9700,,,,,,,
44,,9960,151939,1530,20211126,10300,10500,9930,,,,,,,
45,,10400,38155,397,20211125,10500,10600,10300,,,,,,,
46,,10500,68839,720,20211124,10400,10650,10300,,,,,,,
47,,10500,48698,511,20211123,10650,10700,10400,,,,,,,
48,,10750,125422,1326,20211122,10400,10950,10200,,,,,,,
49,,10300,57789,590,20211119,10200,10350,10050,,,,,,,
50,,10250,82178,832,20211118,10150,10300,10000,,,,,,,
51,,10150,93988,964,20211117,10250,10450,10100,,,,,,,
52,,10200,72722,742,20211116,10400,10500,10100,,,,,,,
53,,10400,134757,1370,20211115,10300,10450,9990,,,,,,,
54,,10300,111023,1157,20211112,10300,10700,10250,,,,,,,
55,,10300,172206,1796,20211111,10350,10800,10250,,,,,,,
56,,10600,236781,2560,20211110,11250,11350,10600,,,,,,,
57,,11300,272243,3107,20211109,11400,11650,11200,,,,,,,
58,,11600,1606934,18993,20211108,12000,12300,11350,,,,,,,
59,,10800,196779,2163,20211105,10750,11050,10500,,,,,,,
60,,10750,81734,871,20211104,10650,10800,10500,,,,,,,
61,,10700,77610,828,20211103,10700,10800,10550,,,,,,,
62,,10650,221847,2365,20211102,10900,11150,10450,,,,,,,
63,,10850,141618,1554,20211101,11450,11450,10750,,,,,,,
64,,11250,255028,2924,20211029,11650,11950,11200,,,,,,,
65,,11600,782986,9058,20211028,10900,11850,10900,,,,,,,
66,,10850,84340,913,20211027,11000,11050,10700,,,,,,,
67,,11000,85666,951,20211026,11300,11350,11000,,,,,,,
68,,11200,164342,1828,20211025,11200,11250,11000,,,,,,,
69,,11000,133727,1463,20211022,10900,11100,10750,,,,,,,
70,,10850,221208,2419,20211021,10800,11150,10700,,,,,,,
71,,10750,119688,1285,20211020,10950,10950,10500,,,,,,,
72,,10750,204781,2189,20211019,10400,10950,10350,,,,,,,
73,,10400,95518,998,20211018,10300,10600,10300,,,,,,,
74,,10400,215129,2191,20211015,9750,10500,9750,,,,,,,
75,,9670,34374,331,20211014,9650,9680,9500,,,,,,,
76,,9420,44242,421,20211013,9300,9640,9300,,,,,,,
77,,9300,31554,294,20211012,9440,9440,9240,,,,,,,
78,,9460,33534,318,20211008,9500,9610,9320,,,,,,,
79,,9440,58842,555,20211007,9310,9600,9250,,,,,,,
80,,9290,114998,1082,20211006,9630,9820,9150,,,,,,,
81,,9620,88537,856,20211005,9920,10000,9500,,,,,,,
82,,10050,86180,864,20211001,10000,10250,9950,,,,,,,
83,,10200,57995,585,20210930,9950,10350,9890,,,,,,,
84,,9970,69159,686,20210929,9770,10050,9770,,,,,,,
85,,10050,132133,1353,20210928,10500,10500,10000,,,,,,,
86,,10500,51405,540,20210927,10450,10650,10400,,,,,,,
87,,10550,68436,714,20210924,10350,10600,10350,,,,,,,
88,,10400,68541,711,20210923,10200,10500,10200,,,,,,,
89,,10500,74230,775,20210917,10500,10650,10200,,,,,,,
90,,10450,69063,728,20210916,10600,10700,10450,,,,,,,
91,,10600,142103,1508,20210915,10800,10800,10450,,,,,,,
92,,10850,648547,7056,20210914,10300,11500,10100,,,,,,,
93,,10300,86466,897,20210913,10200,10600,10150,,,,,,,
94,,10100,76932,776,20210910,10150,10300,10000,,,,,,,
95,,10150,47470,484,20210909,10300,10350,10100,,,,,,,
96,,10400,66035,681,20210908,10250,10500,10150,,,,,,,
97,,10250,72704,746,20210907,10450,10500,10050,,,,,,,
98,,10400,44394,466,20210906,10650,10650,10400,,,,,,,
99,,10650,67258,707,20210903,10550,10700,10350,,,,,,,
100,,10450,161461,1708,20210902,10500,10800,10350,,,,,,,
101,,10200,48083,488,20210901,10050,10250,10000,,,,,,,
102,,10150,54681,552,20210831,10000,10250,9980,,,,,,,
103,,10100,101413,1005,20210830,9570,10100,9550,,,,,,,
104,,9530,45827,437,20210827,9620,9670,9450,,,,,,,
105,,9590,34276,329,20210826,9680,9750,9540,,,,,,,
106,,9680,41529,401,20210825,9770,9770,9560,,,,,,,
107,,9700,50452,484,20210824,9500,9730,9470,,,,,,,
108,,9470,94510,887,20210823,9250,9700,9250,,,,,,,
109,,9370,73724,697,20210820,9760,9830,9200,,,,,,,
110,,9740,108393,1060,20210819,9810,9920,9740,,,,,,,
111,,9960,69634,690,20210818,9750,10100,9720,,,,,,,
112,,9850,146233,1452,20210817,10200,10300,9810,,,,,,,
113,,10200,106766,1089,20210813,10500,10600,10000,,,,,,,
114,,10400,70021,726,20210812,10250,10450,10200,,,,,,,
115,,10300,107475,1113,20210811,10450,10550,10250,,,,,,,
116,,10450,71799,752,20210810,10800,10800,10400,,,,,,,
117,,10700,145340,1538,20210809,10400,10800,10250,,,,,,,
118,,10400,48767,504,20210806,10450,10500,10250,,,,,,,
119,,10400,41483,431,20210805,10300,10450,10250,,,,,,,
120,,10300,81416,832,20210804,10150,10400,10100,,,,,,,
121,,10250,63405,649,20210803,10300,10500,10100,,,,,,,
122,,10400,40010,416,20210802,10550,10550,10300,,,,,,,
123,,10550,50170,526,20210730,10450,10700,10400,,,,,,,
